tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,33.50891484489192,-0.16329439738190632,1.8077100096538214,0.01,0.01,0.0
blue,32.33363703590306,4.704328160639196,2.0043137835816043,0.01,0.01,0.0
blue,29.375686551228423,8.765978262414567,2.33186701562284,0.01,0.01,0.0
blue,25.452924130117868,11.92823864023404,2.5538144795298208,0.01,0.01,0.0
blue,21.01867580836964,14.334610021187945,2.7124225762446774,0.01,0.01,0.0
blue,16.29635114480347,16.118441390030704,2.8357378272426543,0.01,0.01,0.0
blue,11.404578561965273,17.370386507870073,2.939089829674484,0.01,0.01,0.0
blue,6.414509480276723,18.14735179084508,3.0312295757432612,0.01,0.01,0.0
blue,1.3749631583613988,18.481801750917636,3.1179621572384097,0.01,0.01,0.0
blue,-3.6749612456729106,18.385815379725575,-3.0791652450234883,0.01,0.01,0.0
blue,-8.69737713476519,17.852193536512488,-2.9901769257184774,0.01,0.01,0.0
blue,-13.649834942404123,16.86381329489222,-2.8937670321676547,0.01,0.01,0.0
blue,-18.47541793693178,15.37808466043305,-2.7826688186392516,0.01,0.01,0.0
blue,-23.085583573003124,13.323759005754576,-2.6456633690174858,0.01,0.01,0.0
blue,-27.323778825946622,10.590868504892159,-2.4624493837997634,0.01,0.01,0.0
blue,-30.88135011562059,7.0306624709334375,-2.1973094941372153,0.01,0.01,0.0
blue,-33.14019559602669,2.554788230857351,-1.8079560496790994,0.01,0.01,0.0
blue,-33.16981197490851,-2.4371992933889164,-1.344332631610735,0.01,0.01,0.0
blue,-30.95390879574757,-6.9336342900178645,-0.9521493600983872,0.01,0.01,0.0
blue,-27.41895778242178,-10.515735455036376,-0.6844265742079214,0.01,0.01,0.0
blue,-23.192711763740707,-13.266840785094612,-0.49970509649561334,0.01,0.01,0.0
blue,-18.589249559733442,-15.336046546150635,-0.3618689139254431,0.01,0.01,0.0
blue,-13.767633842268163,-16.8345914605472,-0.2502868432180699,0.01,0.01,0.0
blue,-8.817415547094528,-17.8341913730548,-0.15361669894060892,0.01,0.01,0.0
blue,-3.796132155778855,-18.37854456392065,-0.06445374028099041,0.01,0.01,0.0
blue,1.2536073097324787,-18.484206830429926,0.02164538878520998,0.01,0.01,0.0
blue,6.293806644741482,-18.160109800805824,0.10823889870399943,0.01,0.01,0.0
blue,11.285553541596924,-17.394099581394475,0.20016931084303513,0.01,0.01,0.0
blue,16.18039991899967,-16.154255376718744,0.3031561679341781,0.01,0.01,0.0
blue,20.90795238050287,-14.384234211868794,0.42586770469767987,0.01,0.01,0.0
blue,25.351102202315282,-11.994158858129165,0.5833467475534453,0.01,0.01,0.0
blue,29.290411475959143,-8.852127205775457,0.803239221671626,0.01,0.01,0.0
blue,32.28030538951503,-4.813188529634591,1.1277871845536833,0.01,0.01,0.0
blue,33.510131161633225,0.04156974614271847,1.322691844325261,0.01,0.01,0.0
yellow,36.49108515510808,0.16329439738190632,1.7814682135915403,0.01,0.01,0.0
yellow,35.42284690911243,5.158681094556734,1.9519551386644007,0.01,0.01,0.0
yellow,32.744549671278975,9.511940280709553,2.250416845698507,0.01,0.01,0.0
