tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-60.91698909065785,1.1870682405045152,0.6321966019419646,0.01,0.01,0.0
blue,-56.83692342012009,4.175652961519117,0.5201359345107968,0.01,0.01,0.0
blue,-52.21812002221915,6.169278881969853,0.18910881095716867,0.01,0.01,0.0
blue,-47.24376379984828,6.011743846512219,-0.2384407166574568,0.01,0.01,0.0
blue,-42.7022080501366,3.856296890471639,-0.5408363360123866,0.01,0.01,0.0
blue,-38.63934389309063,0.8442128654545703,-0.6243225393962167,0.01,0.01,0.0
blue,-34.50034692147499,-2.052773642489482,-0.4457140162035984,0.01,0.01,0.0
blue,-29.719600056431567,-3.417461187329173,0.0279617860606018,0.01,0.01,0.0
blue,-25.005711839526334,-1.787217474617352,0.4819475442715555,0.01,0.01,0.0
blue,-20.916921495875823,1.1871210072232212,0.6305521577747794,0.01,0.01,0.0
blue,-16.83686319950268,4.175721481681704,0.5201479538911624,0.01,0.01,0.0
blue,-12.218112784491307,6.16943593223473,0.18911921322383948,0.01,0.01,0.0
blue,-7.243768777869956,6.011903333599989,-0.23845109976546347,0.01,0.01,0.0
blue,-2.7022514720904103,3.856361612439509,-0.5408480639968947,0.01,0.01,0.0
blue,1.3606047866671573,0.8442628742223226,-0.6243314219509153,0.01,0.01,0.0
blue,5.4995582543885355,-2.052782556040963,-0.44573109786312515,0.01,0.01,0.0
blue,10.28026932092775,-3.4175604340482577,0.027959190633126844,0.01,0.01,0.0
blue,14.994102719843456,-1.7872535843051807,0.4819471856176689,0.01,0.01,0.0
blue,19.082942985405438,1.187015178453251,0.6305513721614409,0.01,0.01,0.0
blue,23.162956894660162,4.175679575069966,0.5201458776945064,0.01,0.01,0.0
blue,27.78177161126897,6.169317524420027,0.18911507977492767,0.01,0.01,0.0
blue,32.756131038989274,6.011835580834825,-0.23843902377731832,0.01,0.01,0.0
blue,37.297660326894615,3.856358246738796,-0.5408368524032077,0.01,0.01,0.0
blue,41.360544125278324,0.8443026500927979,-0.6243211496837261,0.01,0.01,0.0
blue,45.49952608880397,-2.0526983097371163,-0.44571630408587576,0.01,0.01,0.0
blue,50.280279966368354,-3.417392648351152,0.027957744930436523,0.01,0.01,0.0
blue,54.99416135311172,-1.7871805358321375,0.4819342802688779,0.01,0.01,0.0
blue,59.08301090934214,1.1870682405045083,0.6288826609174916,0.01,0.01,0.0
yellow,-59.08301090934215,-1.1870682405045152,0.628882660917492,0.01,0.01,0.0
yellow,-54.994161353111735,1.787180535832129,0.48193428026887913,0.01,0.01,0.0
yellow,-50.280279966368376,3.4173926483511514,0.02795774493043886,0.01,0.01,0.0
yellow,-45.49952608880398,2.05269830973713,-0.445716304085874,0.01,0.01,0.0
yellow,-41.36054412527833,-0.8443026500927854,-0.6243211496837263,0.01,0.01,0.0
yellow,-37.29766032689463,-3.856358246738786,-0.540836852403209,0.01,0.01,0.0
yellow,-32.7561310389893,-6.011835580834815,-0.23843902377732024,0.01,0.01,0.0
yellow,-27.781771611268994,-6.169317524420034,0.1891150797749251,0.01,0.01,0.0
yellow,-23.162956894660184,-4.17567957506998,0.5201458776945052,0.01,0.01,0.0
yellow,-19.082942985405463,-1.187015178453273,0.6305513721614402,0.01,0.01,0.0
yellow,-14.994102719843475,1.7872535843051598,0.4819471856176702,0.01,0.01,0.0
yellow,-10.280269320927768,3.4175604340482533,0.027959190633130022,0.01,0.01,0.0
yellow,-5.499558254388538,2.052782556040973,-0.4457310978631237,0.01,0.01,0.0
yellow,-1.360604786667156,-0.8442628742223197,-0.6243314219509161,0.01,0.01,0.0
yellow,2.702251472090395,-3.8563616124395006,-0.5408480639968956,0.01,0.01,0.0
yellow,7.243768777869939,-6.011903333599986,-0.23845109976546353,0.01,0.01,0.0
yellow,12.21811278449129,-6.169435932234721,0.18911921322383793,0.01,0.01,0.0
yellow,16.836863199502663,-4.175721481681716,0.5201479538911605,0.01,0.01,0.0
yellow,20.916921495875805,-1.1871210072232343,0.6305521577747785,0.01,0.01,0.0
yellow,25.005711839526324,1.7872174746173337,0.4819475442715568,0.01,0.01,0.0
yellow,29.719600056431545,3.417461187329173,0.027961786060604805,0.01,0.01,0.0
yellow,34.50034692147498,2.052773642489492,-0.4457140162035968,0.01,0.01,0.0
yellow,38.639343893090626,-0.8442128654545588,-0.6243225393962164,0.01,0.01,0.0
yellow,42.70220805013659,-3.8562968904716293,-0.5408363360123869,0.01,0.01,0.0
yellow,47.24376379984828,-6.011743846512215,-0.2384407166574584,0.01,0.01,0.0
yellow,52.21812002221914,-6.169278881969857,0.18910881095716825,0.01,0.01,0.0
yellow,56.83692342012008,-4.175652961519119,0.520135934510796,0.01,0.01,0.0
yellow,60.91698909065786,-1.1870682405045159,0.6321966019419631,0.01,0.01,0.0
car_start,-66.33103061602408,-4.8906084835085455,0.6577351415915471,0.0,0.0,0.0
