tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-35.0,1.5,0.0,0.01,0.01,0.0
blue,-29.914049581223512,1.5,0.0,0.01,0.01,0.0
blue,-24.828099162447025,1.5,0.0,0.01,0.01,0.0
blue,-19.742148743670533,1.5,0.0,0.01,0.01,0.0
blue,-14.656198324894046,1.5,0.0,0.01,0.01,0.0
blue,-9.570247906117558,1.5,-1.617805428496268e-08,0.01,0.01,0.0
blue,-4.484297487341215,1.499999835438436,0.004731243125553082,0.01,0.01,0.0
blue,0.5980202164259707,1.5481089076213046,0.19240281095873085,0.01,0.01,0.0
blue,5.241466064051513,3.3947018770223347,0.6720555407435832,0.01,0.01,0.0
blue,8.081977377116235,7.5023854290929375,1.2683267402813367,0.01,0.01,0.0
blue,8.081977377116253,12.497614570907073,1.8732659133084555,0.01,0.01,0.0
blue,5.24146606405151,16.605298122977665,2.469537112846214,0.01,0.01,0.0
blue,0.5980202164259621,18.451891092378677,2.9491898426310628,0.01,0.01,0.0
blue,-4.484297487341233,18.500000164561563,3.1368614104642383,0.01,0.01,0.0
blue,-9.570247906117562,18.5,-3.141592637411739,0.01,0.01,0.0
blue,-14.656198324894053,18.5,3.141592653589793,0.01,0.01,0.0
blue,-19.742148743670544,18.5,3.141592653589793,0.01,0.01,0.0
blue,-24.82809916244703,18.5,3.141592653589793,0.01,0.01,0.0
blue,-29.914049581223523,18.5,3.141592653589793,0.01,0.01,0.0
blue,-35.0,18.5,3.141592653589793,0.01,0.01,0.0
yellow,-35.0,-1.5,0.0,0.01,0.01,0.0
yellow,-29.950753398238643,-1.5,0.0,0.01,0.01,0.0
yellow,-24.901506796477285,-1.5,0.0,0.01,0.01,0.0
yellow,-19.85226019471593,-1.5,0.0,0.01,0.01,0.0
yellow,-14.803013592954574,-1.5,0.0,0.01,0.01,0.0
yellow,-9.753766991193217,-1.5,0.0,0.01,0.01,0.0
yellow,-4.704520389431863,-1.5,0.001650012698254743,0.01,0.01,0.0
yellow,0.34466793854268185,-1.483337439011927,0.1331227158131908,0.01,0.01,0.0
yellow,5.1742954696735115,-0.17708118412375642,0.47727974415203095,0.01,0.01,0.0
yellow,9.011472930447194,2.998771684336847,0.9066186312356183,0.01,0.01,0.0
yellow,11.180648383430485,7.495623514111332,1.346438529910631,0.01,0.01,0.0
yellow,11.18064838343045,12.504376485888649,1.7951541236791655,0.01,0.01,0.0
yellow,9.0114729304472,17.001228315663134,2.2349740223541685,0.01,0.01,0.0
yellow,5.174295469673532,20.177081184123765,2.6643129094377604,0.01,0.01,0.0
yellow,0.3446679385426735,21.483337439011933,3.0084699377766038,0.01,0.01,0.0
yellow,-4.704520389431867,21.5,3.139942640891539,0.01,0.01,0.0
yellow,-9.75376699119322,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-14.803013592954574,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-19.852260194715928,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-24.901506796477292,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-29.950753398238646,21.5,3.141592653589793,0.01,0.01,0.0
yellow,-35.0,21.5,3.141592653589793,0.01,0.01,0.0
car_start,-43.0,0.0,0.0,0.0,0.0,0.0
